"ID","Species","Longitude","Latitude","Common Name","Accuracy: Square Meters","Date","Source","County","Location Quality","Citation"
"po177437","dipetala","-120.889068","36.368261","Two petaled ash","","2021-01-28","","San Benito","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"po177438","dipetala","-120.891869","36.364553","Two petaled ash","","2021-01-28","","San Benito","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"po177439","dipetala","-120.886439","36.366187","Two petaled ash","","2021-01-28","","San Benito","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"po177440","dipetala","-120.886727","36.365244","Two petaled ash","","2021-01-28","","San Benito","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"po177441","dipetala","-120.887366","36.364097","Two petaled ash","","2021-01-28","","San Benito","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"po177442","dipetala","-120.887867","36.362201","Two petaled ash","","2021-01-28","","San Benito","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"po177443","dipetala","-120.882899","36.364178","Two petaled ash","","2021-01-28","","San Benito","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"po177444","dipetala","-120.883585","36.363045","Two petaled ash","","2021-01-28","","San Benito","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"po177445","dipetala","-120.881138","36.362589","Two petaled ash","","2021-01-28","","San Benito","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"po177446","dipetala","-120.878757","36.359298","Two petaled ash","","2021-01-28","","San Benito","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
