species,common_name,x,y
Fraxinus latifolia,Oregon ash,-123.058863,38.552495
Fraxinus latifolia,Oregon ash,-123.056919,38.576053
Fraxinus latifolia,Oregon ash,-123.045382,38.44969
Fraxinus latifolia,Oregon ash,-123.055952,38.453877
Fraxinus latifolia,Oregon ash,-123.17301,38.557789
Fraxinus latifolia,Oregon ash,-123.173657,38.554823
Fraxinus latifolia,Oregon ash,-122.818555,38.406787
Fraxinus latifolia,Oregon ash,-122.818071,38.407777
Fraxinus latifolia,Oregon ash,-122.807997,38.444892
Fraxinus latifolia,Oregon ash,-122.81636,38.40061
Fraxinus latifolia,Oregon ash,-122.974698,38.442973
Fraxinus latifolia,Oregon ash,-122.969162,38.446838
Fraxinus latifolia,Oregon ash,-122.881789,38.448946
Fraxinus latifolia,Oregon ash,-122.878639,38.447951
Fraxinus latifolia,Oregon ash,-122.877417,38.445616
Fraxinus latifolia,Oregon ash,-122.930649,38.503427
Fraxinus latifolia,Oregon ash,-122.930705,38.505032
Fraxinus latifolia,Oregon ash,-122.93216,38.543199
Fraxinus latifolia,Oregon ash,-123.012394,38.816655
Fraxinus latifolia,Oregon ash,-122.852528,38.405654
Fraxinus latifolia,Oregon ash,-122.835857,38.454036
Fraxinus latifolia,Oregon ash,-122.857111,38.404668
Fraxinus latifolia,Oregon ash,-122.932345,38.381502
Fraxinus latifolia,Oregon ash,-122.931417,38.382177
Fraxinus latifolia,Oregon ash,-122.981472,38.348823
